user_0237,query_2529,0.47
user_0091,query_2164,0.31
user_0141,query_0960,0.77
user_0182,query_3893,1.0
user_0339,query_2780,0.89
user_0147,query_2536,0.82
user_0152,query_4412,0.67
user_0465,query_0396,0.28
user_0264,query_4696,0.72
user_0471,query_1687,0.87
user_0499,query_1059,0.23
user_0316,query_4381,0.39
user_0020,query_0202,0.7
user_0344,query_3472,0.02
user_0376,query_0963,0.42
user_0007,query_3492,0.9
user_0293,query_4154,0.91
user_0458,query_4052,0.59
user_0358,query_1610,0.07
user_0190,query_0512,0.02
user_0340,query_4429,0.15
user_0015,query_3671,0.1
user_0427,query_3204,0.35
user_0144,query_1404,0.81
user_0342,query_1875,0.55
user_0370,query_2067,0.49
user_0172,query_0734,0.97
user_0365,query_4492,0.33
user_0073,query_2774,0.9
user_0031,query_0796,0.9
user_0453,query_1025,0.51
user_0173,query_1107,0.28
user_0315,query_4306,0.92
user_0093,query_1302,0.95
user_0194,query_3015,0.07
user_0236,query_1704,0.96
user_0159,query_3065,0.64
user_0348,query_3803,0.21
user_0210,query_3714,0.29
user_0029,query_4032,0.26
user_0436,query_3559,0.0
user_0030,query_4866,1.0
user_0088,query_3927,0.68
user_0176,query_3771,0.72
user_0404,query_1425,0.96
user_0190,query_3328,0.24
user_0173,query_0864,0.1
user_0260,query_3241,0.35
user_0080,query_0330,0.06
user_0023,query_2972,0.86
user_0048,query_4990,0.35
user_0323,query_2841,0.96
user_0487,query_2428,0.66
user_0069,query_3326,0.48
user_0364,query_0444,0.01
user_0432,query_0908,0.9
user_0490,query_0757,0.63
user_0001,query_0181,0.8
user_0444,query_2222,0.82
user_0235,query_2109,0.77
user_0130,query_0136,0.75
user_0012,query_4749,0.53
user_0021,query_0544,0.61
user_0144,query_1090,0.31
user_0346,query_0203,0.09
user_0409,query_3425,0.01
user_0489,query_4072,0.63
user_0212,query_0527,0.69
user_0346,query_1488,0.01
user_0089,query_2564,0.32
user_0165,query_2456,0.82
user_0325,query_3984,0.18
user_0078,query_2929,0.61
user_0273,query_4272,0.82
user_0052,query_2901,0.84
user_0401,query_2368,0.51
user_0443,query_1698,0.78
user_0266,query_4567,0.53
user_0274,query_1973,0.38
user_0106,query_1614,0.2
user_0039,query_1446,0.25
user_0108,query_3238,0.8
user_0152,query_2476,0.91
user_0418,query_1813,0.98
user_0388,query_3941,0.67
user_0238,query_3810,0.27
user_0096,query_4124,0.85
user_0353,query_4551,0.02
user_0139,query_3172,0.54
user_0475,query_4389,0.69
user_0384,query_4003,0.86
user_0053,query_0093,0.4
user_0303,query_1750,0.95
user_0237,query_4434,0.56
user_0126,query_2244,0.94
user_0324,query_1616,0.17
user_0103,query_4049,0.16
user_0286,query_1706,0.66
user_0107,query_1294,0.49
user_0069,query_1506,0.92
user_0252,query_4482,0.48
user_0204,query_0473,0.27
user_0494,query_1420,0.89
user_0213,query_4113,0.01
user_0173,query_3330,0.13
user_0035,query_1761,0.02
user_0109,query_4026,0.31
user_0200,query_3836,0.77
user_0388,query_4671,0.54
user_0237,query_2255,0.9
user_0280,query_4710,0.33
user_0474,query_0250,0.59
user_0030,query_3907,0.64
user_0029,query_3252,0.14
user_0406,query_1142,0.9
user_0047,query_4181,0.61
user_0430,query_2763,0.39
user_0336,query_2558,0.54
user_0328,query_3088,0.73
user_0157,query_4353,0.82
user_0449,query_2114,0.22
user_0258,query_0990,0.22
user_0056,query_3955,0.41
user_0268,query_1678,0.21
user_0094,query_2793,0.09
user_0364,query_1098,0.21
user_0500,query_1051,0.24
user_0003,query_2068,0.08
user_0062,query_4114,0.65
user_0253,query_0604,0.74
user_0237,query_2766,0.08
user_0037,query_4885,0.17
user_0404,query_4302,0.6
user_0319,query_4367,0.27
user_0410,query_3890,0.44
user_0106,query_4732,0.59
user_0242,query_0647,0.64
user_0137,query_3483,0.35
user_0049,query_0529,0.15
user_0064,query_0940,0.58
user_0300,query_2104,0.16
user_0164,query_4839,0.91
user_0176,query_0897,0.12
user_0044,query_4114,0.93
user_0350,query_4021,0.64
user_0127,query_1822,0.52
user_0442,query_0251,0.37
user_0189,query_2893,0.72
user_0296,query_4308,0.33
user_0287,query_4067,0.27
user_0442,query_0619,0.97
user_0153,query_4648,0.76
user_0062,query_0741,0.43
user_0214,query_1359,0.2
user_0181,query_4651,0.93
user_0255,query_0730,0.99
user_0242,query_3371,0.0
user_0090,query_0663,0.98
user_0228,query_3104,0.41
user_0170,query_3227,0.1
user_0123,query_0592,0.92
user_0089,query_2425,0.79
user_0142,query_0781,0.82
user_0267,query_2338,1.0
user_0215,query_2627,0.48
user_0213,query_2344,0.22
user_0322,query_0378,0.24
user_0106,query_1045,0.58
user_0019,query_0745,0.08
user_0489,query_1864,0.61
user_0199,query_2556,0.31
user_0315,query_2558,0.34
user_0413,query_2623,0.05
user_0496,query_3305,0.26
user_0378,query_1308,0.45
user_0058,query_1777,0.04
user_0313,query_0011,0.12
user_0213,query_1374,0.47
user_0266,query_4838,0.59
user_0349,query_4618,0.36
user_0179,query_3593,0.63
user_0105,query_1176,0.7
user_0272,query_4900,0.7
user_0303,query_1935,0.34
user_0408,query_3166,0.13
user_0041,query_1315,0.21
user_0396,query_0974,0.65
user_0388,query_1573,0.98
user_0400,query_4741,0.25
user_0023,query_3644,0.87
user_0344,query_0749,0.87
user_0279,query_0572,0.08
user_0402,query_3468,0.08
user_0368,query_1679,0.14
user_0243,query_1388,0.44
user_0439,query_4764,0.75
user_0109,query_1756,0.95
user_0449,query_0558,0.22
user_0244,query_0651,0.52
user_0455,query_1510,0.23
user_0142,query_2359,0.03
user_0332,query_3672,0.24
user_0016,query_2315,0.48
user_0169,query_3850,0.96
user_0156,query_2817,0.63
user_0057,query_4282,0.49
user_0317,query_2154,0.19
user_0494,query_0975,0.38
user_0431,query_4579,0.05
user_0195,query_1548,0.4
user_0321,query_4364,0.4
user_0403,query_2895,0.06
user_0294,query_2032,0.48
user_0231,query_3218,0.06
user_0264,query_1423,0.01
user_0475,query_3384,0.09
user_0388,query_3946,0.58
user_0272,query_0087,0.34
user_0431,query_3016,0.13
user_0021,query_0746,0.26
user_0026,query_0989,0.75
user_0229,query_0410,0.95
user_0369,query_0896,0.51
user_0210,query_1449,0.06
user_0233,query_2363,0.51
user_0392,query_4289,0.26
user_0296,query_2576,0.53
user_0429,query_2594,0.35
user_0457,query_0957,0.94
user_0015,query_4563,0.33
user_0097,query_2985,0.72
user_0450,query_1428,0.81
user_0180,query_0842,0.36
user_0101,query_4055,0.53
user_0353,query_3497,0.07
user_0136,query_3480,0.76
user_0277,query_4908,0.96
user_0383,query_0386,0.86
user_0094,query_1488,0.02
user_0110,query_2929,0.32
user_0354,query_2343,0.29
user_0396,query_0865,0.81
user_0045,query_2110,0.71
user_0478,query_2245,0.04
user_0024,query_1510,0.0
user_0364,query_3901,0.68
user_0008,query_1208,0.6
user_0150,query_1136,0.9
user_0408,query_4137,0.43
user_0094,query_3645,0.57
user_0396,query_4258,0.31
user_0373,query_4981,0.19
user_0484,query_2755,0.54
user_0138,query_4937,0.63
user_0174,query_3980,0.34
user_0015,query_2701,0.2
user_0053,query_4307,0.56
user_0459,query_4244,0.31
user_0493,query_2751,0.82
user_0489,query_1626,0.27
user_0090,query_0141,0.55
user_0120,query_2609,0.5
user_0048,query_4678,0.7
user_0227,query_3520,0.11
user_0080,query_0521,0.88
user_0243,query_3623,0.08
user_0214,query_4614,0.93
user_0091,query_0346,0.65
user_0270,query_4338,0.7
user_0202,query_0274,0.21
user_0338,query_0712,0.27
user_0118,query_4523,0.27
user_0364,query_4429,0.43
user_0219,query_2273,0.93
user_0486,query_0829,0.54
user_0420,query_1888,0.46
user_0244,query_3124,0.37
user_0300,query_0235,0.81
user_0171,query_3506,0.22
user_0344,query_0737,0.24
user_0409,query_3265,0.22
user_0409,query_3835,0.43
user_0391,query_1474,0.41
user_0322,query_3992,0.86
user_0116,query_1077,0.61
user_0084,query_0636,0.98
user_0320,query_1143,0.49
user_0181,query_1407,0.91
user_0349,query_1943,0.82
user_0376,query_4595,0.84
user_0371,query_0060,0.51
user_0443,query_0958,0.94
user_0026,query_1064,0.79
user_0106,query_4125,0.61
user_0172,query_3241,0.57
user_0403,query_1427,0.5
user_0011,query_4281,0.88
user_0164,query_0395,0.32
user_0237,query_3342,0.85
user_0296,query_2518,0.87
user_0225,query_4673,0.32
user_0150,query_2274,0.32
user_0036,query_2394,0.08
user_0313,query_4925,0.61
user_0290,query_4846,0.74
user_0398,query_2394,0.6
user_0079,query_2058,0.12
user_0122,query_0005,0.59
user_0445,query_4147,0.0
user_0151,query_1507,0.97
user_0485,query_3196,0.62
user_0145,query_3906,0.97
user_0092,query_3398,0.83
user_0474,query_3151,0.45
user_0412,query_3490,0.44
user_0167,query_0841,0.46
user_0350,query_2210,0.06
user_0349,query_0729,0.6
user_0389,query_4502,0.76
user_0408,query_3416,0.96
user_0103,query_3953,0.79
user_0244,query_2130,0.63
user_0265,query_2569,0.15
user_0214,query_1935,0.13
user_0026,query_3094,0.72
user_0163,query_4602,0.12
user_0489,query_3711,0.18
user_0097,query_3289,0.18
user_0042,query_1724,0.75
user_0293,query_1495,0.95
user_0229,query_2114,0.47
user_0204,query_1893,0.92
user_0072,query_3662,0.11
user_0369,query_2008,0.44
user_0270,query_0692,0.16
user_0432,query_0161,0.45
user_0270,query_1095,0.76
user_0449,query_1355,0.95
user_0057,query_2866,0.42
user_0309,query_3750,0.47
user_0247,query_0010,0.35
user_0201,query_0618,0.31
user_0361,query_4735,0.44
user_0431,query_2030,0.5
user_0270,query_2212,0.09
user_0491,query_3525,0.63
user_0387,query_4037,0.94
user_0002,query_4300,0.23
user_0414,query_2658,0.74
user_0055,query_0590,0.59
user_0447,query_1372,0.5
user_0117,query_3922,0.95
user_0422,query_2446,0.35
user_0487,query_0711,0.22
user_0463,query_0422,0.42
user_0081,query_0069,0.89
user_0211,query_1318,0.79
user_0278,query_0100,0.12
user_0089,query_0036,0.36
user_0316,query_1559,0.06
user_0335,query_0778,0.16
user_0428,query_4963,0.29
user_0132,query_2680,0.78
user_0240,query_2024,0.84
user_0383,query_4805,0.54
user_0399,query_1919,0.58
user_0293,query_2927,0.56
user_0069,query_3536,0.65
user_0014,query_0515,0.73
user_0480,query_2840,0.83
user_0127,query_3924,0.73
user_0323,query_1708,0.32
user_0386,query_3158,0.14
user_0447,query_1608,0.29
user_0236,query_3598,0.08
user_0073,query_0879,0.4
user_0202,query_2629,0.15
user_0396,query_2644,0.19
user_0389,query_0050,0.32
user_0097,query_4848,0.11
user_0474,query_4785,0.88
user_0240,query_3870,0.41
user_0349,query_0574,0.04
user_0490,query_3631,0.57
user_0082,query_0744,0.17
user_0363,query_4563,0.3
user_0248,query_0130,0.42
user_0169,query_3324,0.42
user_0025,query_4340,0.73
user_0230,query_2453,0.31
user_0248,query_4236,0.04
user_0096,query_0812,0.89
user_0204,query_2296,0.89
user_0468,query_0203,0.96
user_0288,query_2358,0.0
user_0499,query_3788,0.97
user_0318,query_2312,0.63
user_0440,query_4926,0.1
user_0040,query_1501,0.48
user_0093,query_1873,0.22
user_0189,query_3396,0.12
user_0092,query_3799,0.46
user_0324,query_1849,0.4
user_0330,query_4458,0.87
user_0022,query_2979,0.91
user_0262,query_4165,0.81
user_0406,query_2001,0.83
user_0224,query_4150,0.75
user_0014,query_4779,0.95
user_0272,query_2401,0.18
user_0101,query_3603,0.69
user_0178,query_1049,0.81
user_0401,query_0736,0.46
user_0145,query_3670,0.4
user_0191,query_0594,1.0
user_0174,query_2721,0.83
user_0496,query_1853,0.2
user_0386,query_0884,0.76
user_0437,query_0617,0.91
user_0307,query_0853,0.05
user_0039,query_3783,0.61
user_0350,query_2588,0.92
user_0253,query_2933,0.43
user_0044,query_4698,0.41
user_0060,query_2909,0.75
user_0128,query_1543,0.13
user_0364,query_0488,0.44
user_0181,query_1013,0.0
user_0348,query_2555,0.58
user_0020,query_3979,0.44
user_0486,query_0268,0.19
user_0101,query_1228,0.68
user_0366,query_0292,0.78
